Level,Modality,Module,Description,Example
1,Reading,Module 7: Transacting,"Can decode unfamiliar simple transactional words (e.g. item names, numbers) using known letter-sound patterns and identify what is being requested or offered in a simple transactional exchange (e.g., ordering, buying), with visual support.","Given a simple order form with a sandwich picture and the unfamiliar word ""two"" printed beside it, the student sounds out ""two"" and matches it to two sandwiches."
1,Writing,Module 7: Transacting,"Can spell simple item names or numbers from sound using known letter-sound patterns to complete a simple transactional exchange in writing, using memorized frames (""one ___, please"") around the spelled word.","Given a picture of juice, the student spells ""juice"" from sound to complete ""One juice, please."""
1,Listening/Speaking,Module 8: Socializing,"Listening: Can listen to a simple spoken social exchange (greeting, introduction) supported by visuals/gesture and identify the social move being made (point/select ""hello""/""goodbye""/""thank you""). Speaking: Can produce a single-word or fixed-phrase social exchange (greeting, thanks, farewell) with gesture support.","Meeting someone new, the teacher waves and says ""Hi, I'm Sam""; the student waves and says ""Hi"" (or their own name) when prompted."
1,Reading,Module 8: Socializing,"Can decode unfamiliar simple social words/phrases (e.g. ""hi,"" ""bye,"" ""thanks"") using known letter-sound patterns and identify the social move being made (greeting, thanks, farewell), with visual support.","Given a picture of two people waving goodbye and the unfamiliar word ""bye"" printed beside it, the student sounds it out and identifies it as the correct social move."
1,Writing,Module 8: Socializing,"Can spell simple social words from sound using known letter-sound patterns for a simple social exchange in writing (greeting, thanks, simple wish), using memorized functional frames around the spelled word.","Given a picture of someone leaving and the frame ""___, see you!"", the student spells ""bye"" from sound to complete it."
2,Listening/Speaking,Module 1: Describing,"Listening: Can listen to one short spoken description using a fixed frame (""It is ___."") supported by visuals, and identify the described object among 2–3 choices. Speaking: Can produce one sentence describing a familiar object using the memorized frame with one open slot, prompted by the teacher.","Shown a picture of a ball and asked ""What is it like?"", the student, prompted, says ""It is round."""
2,Reading,Module 1: Describing,"Can read one short sentence using the fixed frame (""It is ___."") describing a familiar object, decoding the open-slot word using known letter-sound patterns to identify the matching image, with visual support.","Given ""It is small."" next to pictures of a mouse and an elephant, the student decodes ""small"" and points to the mouse."
2,Writing,Module 1: Describing,"Can spell the open-slot word in the fixed frame (""It is ___."") from sound to describe a familiar object, prompted by a picture.","Shown a cup of hot coffee and given ""It is ___."", the student spells ""hot"" from sound."
2,Listening/Speaking,Module 2: Narrating,"Listening: Can listen to one short spoken sentence narrating a single past action using a fixed frame (""I ___-ed."") supported by visuals, and identify the matching picture. Speaking: Can produce one sentence narrating a single past action using the memorized frame with one open slot, prompted by the teacher.","Shown a picture of a child kicking a ball and asked ""What did you do?"", the student, prompted, says ""I played."""
2,Reading,Module 2: Narrating,"Can read one short sentence using the fixed frame (""I ___-ed."") narrating a single past action, decoding the open-slot word to identify the matching image, with visual support.","Given ""I walked."" next to pictures of walking and running, the student decodes ""walked"" and points to the walking picture."
2,Writing,Module 2: Narrating,"Can spell the open-slot verb in the fixed frame (""I ___-ed."") from sound to narrate a single past action, prompted by a picture.","Shown a picture of someone cooking and given ""I ___-ed."", the student spells ""cooked"" from sound."
2,Listening/Speaking,Module 3: Explaining,"Listening: Can listen to one short spoken cause-effect sentence using a fixed frame (""It's [effect] because it's ___."") supported by visuals, and identify the matching cause. Speaking: Can produce one cause-effect sentence using the memorized frame with one open slot, prompted by the teacher.","Shown a picture of a puddle and asked ""Why is it wet?"", the student, prompted, says ""It's wet because it's rainy."""
2,Reading,Module 3: Explaining,"Can read one short cause-effect sentence using the fixed frame, decoding the open-slot reason word to identify the matching image, with visual support.","Given ""It's wet because it's rainy."" next to a sunny-day and a rainy-day picture, the student decodes ""rainy"" and points to the rainy picture."
2,Writing,Module 3: Explaining,"Can spell the open-slot reason word in the fixed cause-effect frame from sound, prompted by a picture.","Shown a rainy-day picture and given ""It's wet because it's ___."", the student spells ""rainy"" from sound."
2,Listening/Speaking,Module 4: Instructing,"Listening: Can listen to one short spoken instruction using a fixed frame (""First, ___."") supported by visuals/demonstration, and identify or carry out the correct first step. Speaking: Can give one instruction using the memorized frame with one open slot, prompted by the teacher.","Shown step pictures for making a sandwich and asked ""What's first?"", the student, prompted, says ""First, cut."""
2,Reading,Module 4: Instructing,"Can read one short instruction using the fixed frame, decoding the open-slot action word to identify the matching first step, with visual support.","Given ""First, mix."" next to pictures of mixing and pouring, the student decodes ""mix"" and points to the mixing picture."
2,Writing,Module 4: Instructing,"Can spell the open-slot action word in the fixed instruction frame from sound, prompted by a picture of the first step.","Shown a picture of stirring a bowl and given ""First, ___."", the student spells ""stir"" from sound."
2,Listening/Speaking,Module 5: Evaluating,"Listening: Can listen to one short spoken opinion-with-reason sentence using a fixed frame supported by visuals, and identify the item and its reason. Speaking: Can give one opinion-with-reason sentence using the memorized frame with one open slot, prompted by the teacher.","Shown a picture of a sports car and asked ""How is it?"", the student, prompted, says ""It's good because it's fast."""
2,Reading,Module 5: Evaluating,"Can read one short opinion-with-reason sentence using the fixed frame, decoding the open-slot reason word to identify the matching item, with visual support.","Given ""It's good because it's fast."" next to a bicycle and a sports car, the student decodes ""fast"" and points to the car."
2,Writing,Module 5: Evaluating,"Can spell the open-slot reason word in the fixed opinion frame from sound, prompted by a picture.","Shown a picture of a sports car and given ""It's good because it's ___."", the student spells ""fast"" from sound."
2,Listening/Speaking,Module 6: Arguing,"Listening: Can listen to one short spoken preference-with-reason sentence using a fixed frame supported by visuals, and identify the preferred option and its reason. Speaking: Can state one preference-with-reason sentence using the memorized frame with one open slot, prompted by the teacher.","Shown a big cookie and a small cookie and asked ""Which one, and why?"", the student, prompted, says ""I want this one because it's bigger."""
2,Reading,Module 6: Arguing,"Can read one short preference-with-reason sentence using the fixed frame, decoding the open-slot reason word to identify the matching option, with visual support.","Given ""I want this one because it's bigger."" next to a big cookie and a small cookie, the student decodes ""bigger"" and points to the big cookie."
2,Writing,Module 6: Arguing,"Can spell the open-slot reason word in the fixed preference frame from sound, prompted by two pictures.","Shown a big cookie and given ""I want this one because it's ___."", the student spells ""bigger"" from sound."
2,Listening/Speaking,Module 7: Transacting,"Listening: Can listen to one short spoken request using a fixed frame (""I want one ___, please."") supported by visuals/realia, and identify what is being requested. Speaking: Can make one request using the memorized frame with one open slot, prompted by the teacher.","Role-playing a snack stand and asked ""What do you want?"", the student, prompted, says ""I want one apple, please."""
2,Reading,Module 7: Transacting,"Can read one short request sentence using the fixed frame, decoding the open-slot item word to identify what's being requested, with visual support.","Given ""I want one juice, please."" next to pictures of juice and milk, the student decodes ""juice"" and points to the juice."
2,Writing,Module 7: Transacting,"Can spell the open-slot item word in the fixed request frame from sound, prompted by a picture.","Shown a picture of juice and given ""I want one ___, please."", the student spells ""juice"" from sound."
2,Listening/Speaking,Module 8: Socializing,"Listening: Can listen to one short spoken social sentence using a fixed frame (""Thank you for the ___."") supported by visuals/gesture, and identify what's being thanked for. Speaking: Can produce one social sentence using the memorized frame with one open slot, prompted by the teacher.","Handed a gift and prompted, the student says ""Thank you for the gift."""
2,Reading,Module 8: Socializing,"Can read one short social sentence using the fixed frame, decoding the open-slot word to identify what's being thanked for, with visual support.","Given ""Thank you for the card."" next to pictures of a card and a gift box, the student decodes ""card"" and points to the card."
2,Writing,Module 8: Socializing,"Can spell the open-slot word in the fixed thank-you frame from sound, prompted by a picture.","Shown a picture of a card and given ""Thank you for the ___."", the student spells ""card"" from sound."
3,Listening/Speaking,Module 1: Describing,"Listening: Can listen to one short spoken description using a two-slot frame (""It is ___ and ___."") and identify the described object among a small set of choices, with a model available for reference. Speaking: Can describe a familiar object using the memorized frame with two open slots, with a model available rather than being prompted step-by-step.","Given a reference card showing ""It is ___ and ___."" and shown a big red umbrella, the student says ""It is big and red."""
3,Reading,Module 1: Describing,"Can read one short sentence using the two-slot frame describing a familiar object, decoding both open-slot words using known letter-sound patterns to identify the matching image.","Given ""It is big and red."" next to a small blue umbrella and a big red umbrella, the student decodes both words and points to the big red umbrella."
3,Writing,Module 1: Describing,Can spell both open-slot words in the two-slot frame from sound to describe a familiar object.,"Shown a big red umbrella and given ""It is ___ and ___."", the student spells ""big"" and ""red"" from sound."
3,Listening/Speaking,Module 2: Narrating,"Listening: Can listen to one short spoken sentence narrating two sequential past actions using a two-slot frame and identify the matching picture pair, with a model available for reference. Speaking: Can narrate two sequential past actions using the memorized frame with two open slots, with a model available rather than being prompted step-by-step.","Shown two pictures in order (cooking, then cleaning) and a reference card, the student says ""I cooked and cleaned."""
3,Reading,Module 2: Narrating,"Can read one short sentence using the two-slot frame narrating two sequential past actions, decoding both open-slot words to identify the matching picture pair.","Given ""I cooked and cleaned."" next to two picture-pair options, the student decodes both words and points to the cooking-then-cleaning pair."
3,Writing,Module 2: Narrating,Can spell both open-slot verbs in the two-slot past-tense frame from sound to narrate two sequential actions.,"Shown pictures of cooking then cleaning and given ""I ___-ed and ___-ed."", the student spells ""cooked"" and ""cleaned"" from sound."
3,Listening/Speaking,Module 3: Explaining,"Listening: Can listen to one short spoken cause-effect sentence with two coordinated reasons using a two-slot frame and identify the matching cause, with a model available for reference. Speaking: Can give a cause-effect sentence with two coordinated reasons using the memorized frame, with a model available rather than being prompted step-by-step.","Shown a picture of a storm and a reference card, the student says ""It's wet because it's rainy and windy."""
3,Reading,Module 3: Explaining,"Can read one short cause-effect sentence with two coordinated reasons using the frame, decoding both open-slot words to identify the matching cause.","Given ""It's wet because it's rainy and windy."" next to a calm sunny picture and a stormy picture, the student decodes both words and points to the stormy picture."
3,Writing,Module 3: Explaining,Can spell both open-slot reason words in the cause-effect frame from sound.,"Shown a stormy picture and given ""It's wet because it's ___ and ___."", the student spells ""rainy"" and ""windy"" from sound."
3,Listening/Speaking,Module 4: Instructing,"Listening: Can listen to a short two-step spoken instruction using a two-slot frame (""First, ___. Then, ___."") and identify or carry out both steps in order, with a model available for reference. Speaking: Can give a two-step instruction using the memorized frame with two open slots, with a model available rather than being prompted step-by-step.","Shown step pictures for making a sandwich and a reference card, the student says ""First, cut. Then, mix."""
3,Reading,Module 4: Instructing,"Can read a short two-step instruction using the frame, decoding both open-slot action words to identify the matching steps in order.","Given ""First, cut. Then, mix."" next to three step pictures, the student decodes both words and points to them in order."
3,Writing,Module 4: Instructing,Can spell both open-slot action words in the two-step instruction frame from sound.,"Shown step pictures for making a sandwich and given ""First, ___. Then, ___."", the student spells ""cut"" and ""mix"" from sound."
3,Listening/Speaking,Module 5: Evaluating,"Listening: Can listen to one short spoken opinion sentence with two coordinated reasons using a two-slot frame and identify the item and its reasons, with a model available for reference. Speaking: Can give an opinion with two coordinated reasons using the memorized frame, with a model available rather than being prompted step-by-step.","Shown a picture of a sports car and a reference card, the student says ""It's good because it's fast and cheap."""
3,Reading,Module 5: Evaluating,"Can read one short opinion sentence with two coordinated reasons using the frame, decoding both open-slot words to identify the matching item.","Given ""It's good because it's fast and cheap."" next to a luxury car and a compact car, the student decodes both words and points to the compact car."
3,Writing,Module 5: Evaluating,Can spell both open-slot reason words in the opinion frame from sound.,"Shown a compact car and given ""It's good because it's ___ and ___."", the student spells ""fast"" and ""cheap"" from sound."
3,Listening/Speaking,Module 6: Arguing,"Listening: Can listen to one short spoken preference sentence with two coordinated reasons using a two-slot frame and identify the preferred option and its reasons, with a model available for reference. Speaking: Can state a preference with two coordinated reasons using the memorized frame, with a model available rather than being prompted step-by-step.","Shown a big cookie and a small cookie and a reference card, the student says ""I want this one because it's bigger and cheaper."""
3,Reading,Module 6: Arguing,"Can read one short preference sentence with two coordinated reasons using the frame, decoding both open-slot words to identify the matching option.","Given ""I want this one because it's bigger and cheaper."" next to a big cookie and a small cookie, the student decodes both words and points to the big cookie."
3,Writing,Module 6: Arguing,Can spell both open-slot reason words in the preference frame from sound.,"Shown a big cookie and given ""I want this one because it's ___ and ___."", the student spells ""bigger"" and ""cheaper"" from sound."
3,Listening/Speaking,Module 7: Transacting,"Listening: Can listen to one short spoken request for two items using a two-slot frame and identify what is being requested, with a model available for reference. Speaking: Can request two items using the memorized frame with two open slots, with a model available rather than being prompted step-by-step.","Role-playing a snack stand with a reference card, the student says ""I want juice and a sandwich, please."""
3,Reading,Module 7: Transacting,"Can read one short request sentence for two items using the frame, decoding both open-slot words to identify what's being requested.","Given ""I want juice and a sandwich, please."" next to pictures of several items, the student decodes both words and points to the juice and sandwich."
3,Writing,Module 7: Transacting,Can spell both open-slot item words in the request frame from sound.,"Shown pictures of juice and a sandwich and given ""I want ___ and ___, please."", the student spells both words from sound."
3,Listening/Speaking,Module 8: Socializing,"Listening: Can listen to one short spoken thank-you sentence for two items using a two-slot frame and identify what's being thanked for, with a model available for reference. Speaking: Can thank someone for two things using the memorized frame with two open slots, with a model available rather than being prompted step-by-step.","Handed a card and a gift and given a reference card, the student says ""Thank you for the card and the gift."""
3,Reading,Module 8: Socializing,"Can read one short thank-you sentence for two items using the frame, decoding both open-slot words to identify what's being thanked for.","Given ""Thank you for the card and the gift."" next to pictures of several items, the student decodes both words and points to the card and gift."
3,Writing,Module 8: Socializing,Can spell both open-slot words in the thank-you frame from sound.,"Shown a card and a gift and given ""Thank you for the ___ and the ___."", the student spells both words from sound."
4,Listening/Speaking,Module 1: Describing,"Listening: Can listen to a short spoken description of a familiar object, choosing their own connectors, and identify its features, one comparison, and the brief reason given for that comparison. Speaking: Can produce a short original description of a familiar object including one comparison and a brief reason for it, choosing their own connectors, working independently.","Shown a laptop, the student says: ""It's a laptop. It's small and light, lighter than my old one, because I need to carry it every day."""
4,Reading,Module 1: Describing,"Can read a short descriptive text about a familiar object and identify its features, one comparison, and the brief reason given for that comparison, decoding unfamiliar words as needed using known letter-sound patterns.","Given ""It's a laptop. It's small and light, lighter than my old one, because I need to carry it every day,"" the student identifies the object, the comparison, and the reason (carrying it daily)."
4,Writing,Module 1: Describing,"Can write a short original description of a familiar object including one comparison and a brief reason for it, choosing their own connectors, working independently.","Shown a backpack, the student writes ""It's a backpack. It's blue and big, bigger than my old bag, because I need room for my books."""
4,Listening/Speaking,Module 2: Narrating,"Listening: Can listen to a short spoken narration of a sequence of past events, choosing their own time connectors, and identify the order, one outcome, and the brief reason given for that outcome. Speaking: Can narrate a short original sequence of past events including one outcome and a brief reason for it, choosing their own connectors, working independently.","Shown three photos of a rushed morning, the student says ""First I woke up late. Then I got dressed fast. I still missed the bus because it left early that day."""
4,Reading,Module 2: Narrating,"Can read a short narrative text and identify the sequence of events, one outcome, and the brief reason given for that outcome, decoding unfamiliar words as needed.","Given ""First I woke up late. Then I got dressed fast. I still missed the bus because it left early that day,"" the student identifies the sequence and the reason the outcome happened."
4,Writing,Module 2: Narrating,"Can write a short original narrative recounting a sequence of past events with one outcome and a brief reason for it, choosing their own time connectors, working independently.","Given three photos of cooking a meal, the student writes ""First I chopped vegetables. Then I cooked them. Dinner was a little late because I chopped too slowly."""
4,Listening/Speaking,Module 3: Explaining,"Listening: Can listen to a short spoken explanation of a familiar process with two linked causes/steps, choosing their own connectors, and identify the causes, the outcome, and which cause the speaker considers more important. Speaking: Can explain a familiar two-cause process in a short original explanation, choosing their own connectors, and state which of the two causes matters more, working independently.","Asked why their plant died, the student says ""Plants need water and light. Mine got plenty of light, but I forgot to water it — that's really what killed it."""
4,Reading,Module 3: Explaining,"Can read a short explanatory text and identify two linked causes/steps, the outcome, and which cause the writer treats as more important, decoding unfamiliar words as needed.","Given ""Plants need water and light. Mine got plenty of light, but I forgot to water it — that's really what killed it,"" the student identifies both causes and which one the writer blames most."
4,Writing,Module 3: Explaining,"Can write a short original explanation of a familiar two-cause process, choosing their own connectors, and state which of the two causes matters more, working independently.","Asked why their phone died, the student writes ""Phones need charging and a good battery. Mine still has a good battery, but I keep forgetting to charge it — that's the real problem."""
4,Listening/Speaking,Module 4: Instructing,"Listening: Can listen to a short spoken set of instructions for a familiar task including one warning, choosing their own sequencing connectors, and identify the steps, the warning, and the brief reason given for it. Speaking: Can give a short original set of instructions for a familiar task including one warning and the reason for it, choosing their own connectors, working independently.","Explaining how to cook pasta, the student says ""First, boil water. Then add the pasta and stir it, because if you don't, it sticks to the pot."""
4,Reading,Module 4: Instructing,"Can read a short set of instructions and identify the steps, the warning, and the brief reason given for it, decoding unfamiliar words as needed.","Given ""First, boil water. Then add the pasta and stir it, because if you don't, it sticks to the pot,"" the student identifies the steps and the reason for the stirring warning."
4,Writing,Module 4: Instructing,"Can write a short original set of instructions for a familiar task including one warning and the reason for it, choosing their own connectors, working independently.","Asked how to make toast, the student writes ""First, put the bread in. Don't leave it too long, because it burns fast once it starts."""
4,Listening/Speaking,Module 5: Evaluating,"Listening: Can listen to a short spoken evaluation of a familiar item using one criterion and one comparison, choosing their own connectors, and identify the criterion, the comparison, the verdict, and the brief reason for the criterion mattering. Speaking: Can evaluate a familiar item in a short original opinion using one criterion, one comparison, and a brief reason the criterion matters to them, choosing their own connectors, working independently.","Asked about a nearby restaurant, the student says ""This restaurant is good — it's fast, which matters because I only get a short lunch break. It's better than the one downtown."""
4,Reading,Module 5: Evaluating,"Can read a short opinion text and identify the criterion, the comparison, the overall verdict, and the brief reason given for why the criterion matters, decoding unfamiliar words as needed.","Given ""This restaurant is good — it's fast, which matters because I only get a short lunch break. It's better than the one downtown,"" the student identifies the criterion, verdict, and the reason it matters to the writer."
4,Writing,Module 5: Evaluating,"Can write a short original opinion about a familiar item using one criterion, one comparison, and a brief reason the criterion matters to them, choosing their own connectors, working independently.","Asked about their phone, the student writes ""My phone is great — it's reliable, which matters because I use it for work. It's better than my old one."""
4,Listening/Speaking,Module 6: Arguing,"Listening: Can listen to a short spoken position with one reason and one simple counterpoint, choosing their own connectors, and identify the position, its reason, the counterpoint, and the brief reason the counterpoint doesn't change the speaker's mind. Speaking: Can state a short original position with one reason and one simple counterpoint, briefly explaining why the counterpoint doesn't change their mind, choosing their own connectors, working independently.","Asked how to get to work, the student says ""I think we should walk. It's healthier. It does take longer, but that's fine with me because I like the extra time to think."""
4,Reading,Module 6: Arguing,"Can read a short position text and identify the position, its reason, the acknowledged counterpoint, and the brief reason the counterpoint doesn't outweigh the position, decoding unfamiliar words as needed.","Given ""I think we should walk. It's healthier. It does take longer, but that's fine with me because I like the extra time to think,"" the student identifies the position, reason, counterpoint, and why the writer isn't persuaded by it."
4,Writing,Module 6: Arguing,"Can write a short original position with one reason and one simple counterpoint, briefly explaining why the counterpoint doesn't change their mind, choosing their own connectors, working independently.","Asked about working from home, the student writes ""I like working from home. It's quieter. I do miss my coworkers, but I'm still more productive, so it's worth it."""
4,Listening/Speaking,Module 7: Transacting,"Listening: Can listen to a short spoken transactional exchange involving a simple problem, choosing their own connectors, and identify the problem, the proposed solution, and the brief reason the solution is acceptable. Speaking: Can handle a short original transactional exchange involving a simple problem, proposing a solution and briefly explaining why it's acceptable, choosing their own connectors, working independently.","Told a size is unavailable, the student says ""Do you have a medium instead? That's fine — I mostly wear it loose anyway, so it should still work."""
4,Reading,Module 7: Transacting,"Can read a short transactional text and identify the problem, the proposed solution, and the brief reason given for accepting it, decoding unfamiliar words as needed.","Given ""Do you have a medium instead? That's fine — I mostly wear it loose anyway, so it should still work,"" the student identifies the request, the substitute, and why it's acceptable."
4,Writing,Module 7: Transacting,"Can write a short original transactional message handling a simple problem, proposing a solution and briefly explaining why it's acceptable, choosing their own connectors, working independently.","Told their delivery is late, the student writes ""Could you check the status? I'd also be fine with a refund, since I already found the item somewhere else."""
4,Listening/Speaking,Module 8: Socializing,"Listening: Can listen to a short spoken social exchange involving a polite decline or topic change, choosing their own connectors, and identify the social move being made and the brief reason given for it. Speaking: Can carry out a short original social exchange involving a polite decline or topic change, giving a brief reason for it, choosing their own connectors, working independently.","Invited to an event, the student says ""Thanks for the invite, but I can't make it — I already have plans that night. Maybe next time?"""
4,Reading,Module 8: Socializing,"Can read a short social text and identify the polite decline or topic change being made and the brief reason given for it, decoding unfamiliar words as needed.","Given ""Thanks for the invite, but I can't make it — I already have plans that night. Maybe next time?"" the student identifies this as a decline and names the reason given."
4,Writing,Module 8: Socializing,"Can write a short original social message involving a polite decline or topic change, giving a brief reason for it, choosing their own connectors, working independently.","Invited to a party they can't attend, the student writes ""Thank you so much for inviting me, but I already have plans that weekend. I hope it goes really well!"""
5,Listening/Speaking,Module 1: Describing,"Listening: Can listen to an extended spoken description of a familiar or semi-familiar place or object, summarize how it's organized, and identify one clearly evaluative word choice that signals the speaker's opinion even though the speaker never states the opinion directly (e.g. a positive or negative adjective standing in for ""I like/dislike this""). Speaking: Can give an extended description, organizing details logically and including at least one clearly evaluative word choice that signals an opinion without stating it outright, working independently.","Asked to describe their neighborhood, the student says: ""My neighborhood is quiet and green. There are many trees and a small park nearby. The houses are old, but everyone keeps their garden nice."" The word ""nice"" is a clear positive signal standing in for ""I like it,"" and the student can point to that word when asked how they feel about the neighborhood."
5,Reading,Module 1: Describing,"Can read an extended description, summarize how the writer organizes details, and identify at least one clearly evaluative word choice that signals the writer's attitude even though the writer never states the opinion directly, decoding unfamiliar words as needed.","Given a paragraph describing a neighborhood that says the houses are old but everyone ""keeps their garden nice,"" the student summarizes the paragraph's organization and identifies ""nice"" as a clear positive signal of the writer's approval, even though the writer never writes ""I like this neighborhood."""
5,Writing,Module 1: Describing,"Can write an extended description of a familiar or semi-familiar place or object, organizing details logically and including at least one detail that implies an opinion or attitude without stating it directly, working independently.","Asked to describe their workplace, the student writes a paragraph covering its layout and atmosphere, choosing a detail (e.g., ""everyone leaves their door open"") that implies a friendly culture without writing ""it's a friendly place."""
5,Listening/Speaking,Module 2: Narrating,"Listening: Can listen to an extended spoken narration of a personal event, summarize the sequence and why it mattered, and identify one clearly telling action or detail that signals how the speaker felt, even though the speaker never names the feeling directly. Speaking: Can narrate an extended account of a personal event, stating why it mattered and including at least one clearly telling action or detail that signals a feeling without naming it outright, working independently.","Asked about a memorable trip, the student narrates a weekend away and says ""I checked the return train time three times before we even left"" -- a clearly repeated, countable action that signals nervousness or reluctance to leave, without the student ever saying ""I didn't want to go home."""
